TAGGER SCHEDULING ENTITY (derived from oati_tag_db; post-RTOE preferred),,,,,,,,
sched_entity_1,pct_1,sched_entity_2,pct_2,sched_entity_3,pct_3,n_segments,source,notes
AVA,100.0%,,,,,59,post-RTOE exact,Single entity across all 59 segments.
AVA,100.0%,,,,,35,post-RTOE exact,Single entity across all 35 segments.
BPAT,100.0%,,,,,33,post-RTOE exact,Single entity across all 33 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
BPAT,100.0%,,,,,17,post-RTOE exact,Single entity across all 17 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
BPAT,100.0%,,,,,2,post-RTOE exact,Only 2 segments observed - weak evidence.
PSEI,100.0%,,,,,2,post-RTOE exact,Only 2 segments observed - weak evidence.
BPAT,100.0%,,,,,9,post-RTOE exact,Single entity across all 9 segments.
,,,,,,,,
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
PACW,100.0%,,,,,341,post-RTOE exact,Single entity across all 341 segments.
GCPD,100.0%,,,,,192,post-RTOE exact,Single entity across all 192 segments.
AVA,100.0%,,,,,14,post-RTOE exact,Single entity across all 14 segments.
PSEI,100.0%,,,,,34,post-RTOE exact,Single entity across all 34 segments.
AVA,100.0%,,,,,6,post-RTOE exact,Single entity across all 6 segments.
PACW,100.0%,,,,,171,post-RTOE exact,Single entity across all 171 segments.
PSEI,100.0%,,,,,29,post-RTOE exact,Single entity across all 29 segments.
BPAT,100.0%,,,,,210,post-RTOE exact,Single entity across all 210 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
PSEI,100.0%,,,,,6,post-RTOE exact,Single entity across all 6 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
BPAT,100.0%,,,,,120,post-RTOE exact,Single entity across all 120 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
PACW,100.0%,,,,,13,post-RTOE exact,Single entity across all 13 segments.
BPAT,100.0%,,,,,13,post-RTOE exact,Single entity across all 13 segments.
BPAT,100.0%,,,,,69,post-RTOE exact,Single entity across all 69 segments.
PGE,100.0%,,,,,69,post-RTOE exact,Single entity across all 69 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
BPAT,100.0%,,,,,99,post-RTOE exact,Single entity across all 99 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
BPAT,100.0%,,,,,85,post-RTOE exact,Single entity across all 85 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
IPCO,100.0%,,,,,48,post-RTOE exact,Single entity across all 48 segments.
BPAT,100.0%,,,,,48,post-RTOE exact,Single entity across all 48 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
PACW,100.0%,,,,,2,pre-RTOE exact (fallback),No post-RTOE tags; pre-RTOE evidence only - RTOE may have reassigned this. Only 2 segments observed - weak evidence.
BPAT,100.0%,,,,,2,pre-RTOE exact (fallback),No post-RTOE tags; pre-RTOE evidence only - RTOE may have reassigned this. Only 2 segments observed - weak evidence.
LDWP,100.0%,,,,,60,post-RTOE exact,Single entity across all 60 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
BPAT,100.0%,,,,,60,post-RTOE exact,Single entity across all 60 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
PACW,100.0%,,,,,3,post-RTOE exact,Single entity across all 3 segments.
IPCO,100.0%,,,,,3,post-RTOE exact,Single entity across all 3 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
PACW,100.0%,,,,,8,post-RTOE exact,Single entity across all 8 segments.
,,,,,,,,
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
NEVP,100.0%,,,,,4,pre-RTOE exact (fallback),No post-RTOE tags; pre-RTOE evidence only - RTOE may have reassigned this. Single entity across all 4 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
BPAT,100.0%,,,,,4,pre-RTOE exact (fallback),No post-RTOE tags; pre-RTOE evidence only - RTOE may have reassigned this. Single entity across all 4 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
LDWP,100.0%,,,,,9,post-RTOE exact,Single entity across all 9 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
PACW,100.0%,,,,,4,pre-RTOE exact (fallback),No post-RTOE tags; pre-RTOE evidence only - RTOE may have reassigned this. Single entity across all 4 segments.
BPAT,100.0%,,,,,4,pre-RTOE exact (fallback),No post-RTOE tags; pre-RTOE evidence only - RTOE may have reassigned this. Single entity across all 4 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
NEVP,100.0%,,,,,3,post-RTOE exact,Single entity across all 3 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
LDWP,64.8%,CISO,35.2%,,,128,post-RTOE exact,Predominantly LDWP; other entities appear on different lines at this node.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
LDWP,100.0%,,,,,60,post-RTOE exact,Single entity across all 60 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
NEVP,50.0%,LDWP,50.0%,,,148,post-RTOE exact,Seam node: no single dominant entity (2 seen) - which applies depends on the line (POR-POD leg) being scheduled; all are valid.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
NEVP,100.0%,,,,,7,post-RTOE exact,Single entity across all 7 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
LDWP,100.0%,,,,,2,post-RTOE exact,Only 2 segments observed - weak evidence.
NEVP,100.0%,,,,,75,post-RTOE exact,Single entity across all 75 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
LDWP,83.3%,WALC,16.7%,,,24,post-RTOE exact,Predominantly LDWP; other entities appear on different lines at this node.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
LDWP,100.0%,,,,,16,post-RTOE exact,Single entity across all 16 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
LDWP,100.0%,,,,,24,post-RTOE exact,Single entity across all 24 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
WALC,100.0%,,,,,673,post-RTOE exact,Single entity across all 673 segments.
WALC,100.0%,,,,,147,post-RTOE exact,Single entity across all 147 segments.
NEVP,54.9%,WALC,45.1%,,,976,post-RTOE exact,Seam node: no single dominant entity (2 seen) - which applies depends on the line (POR-POD leg) being scheduled; all are valid.
WALC,100.0%,,,,,86,post-RTOE exact,Single entity across all 86 segments.
LDWP,51.5%,WALC,48.5%,,,66,post-RTOE exact,Seam node: no single dominant entity (2 seen) - which applies depends on the line (POR-POD leg) being scheduled; all are valid.
WALC,100.0%,,,,,134,post-RTOE exact,Single entity across all 134 segments.
WALC,100.0%,,,,,189,post-RTOE exact,Single entity across all 189 segments.
WALC,100.0%,,,,,58,post-RTOE exact,Single entity across all 58 segments.
WALC,100.0%,,,,,8,post-RTOE exact,Single entity across all 8 segments.
NEVP,100.0%,,,,,3,post-RTOE exact,Single entity across all 3 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
NEVP,100.0%,,,,,67,post-RTOE exact,Single entity across all 67 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
PACE,100.0%,,,,,7,post-RTOE exact,Single entity across all 7 segments.
NEVP,100.0%,,,,,7,post-RTOE exact,Single entity across all 7 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
NEVP,100.0%,,,,,441,post-RTOE exact,Single entity across all 441 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
NWMT,100.0%,,,,,55,post-RTOE exact,Single entity across all 55 segments.
AVA,100.0%,,,,,51,post-RTOE exact,Single entity across all 51 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
PACE,100.0%,,,,,3,post-RTOE exact,Single entity across all 3 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
IPCO,33.3%,PACE,33.3%,NWMT,33.3%,39,post-RTOE exact,Seam node: no single dominant entity (3 seen) - which applies depends on the line (POR-POD leg) being scheduled; all are valid.
NWMT,100.0%,,,,,113,post-RTOE exact,Single entity across all 113 segments.
BPAT,100.0%,,,,,112,post-RTOE exact,Single entity across all 112 segments.
NWMT,33.3%,IPCO,33.3%,PACE,33.3%,6,pre-RTOE exact (fallback),No post-RTOE tags; pre-RTOE evidence only - RTOE may have reassigned this. Seam node: no single dominant entity (3 seen) - which applies depends on the line (POR-POD leg) being scheduled; all are valid.
PACE,53.6%,IPCO,23.2%,NWMT,23.2%,56,post-RTOE exact,Seam node: no single dominant entity (3 seen) - which applies depends on the line (POR-POD leg) being scheduled; all are valid.
NWMT,33.3%,IPCO,33.3%,PACE,33.3%,81,post-RTOE exact,Seam node: no single dominant entity (3 seen) - which applies depends on the line (POR-POD leg) being scheduled; all are valid.
IPCO,100.0%,,,,,23,post-RTOE exact,Single entity across all 23 segments.
,,,,,,,,
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
IPCO,100.0%,,,,,11,post-RTOE exact,Single entity across all 11 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
AVA,100.0%,,,,,27,post-RTOE exact,Single entity across all 27 segments.
IPCO,100.0%,,,,,27,post-RTOE exact,Single entity across all 27 segments.
IPCO,100.0%,,,,,1,post-RTOE exact,Only 1 segment observed - weak evidence.
IPCO,100.0%,,,,,35,post-RTOE exact,Single entity across all 35 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
NEVP,100.0%,,,,,35,post-RTOE exact,Single entity across all 35 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
AVA,100.0%,,,,,35,post-RTOE exact,Single entity across all 35 segments.
BPAT,100.0%,,,,,33,post-RTOE exact,Single entity across all 33 segments.
NWMT,100.0%,,,,,1,post-RTOE exact,Only 1 segment observed - weak evidence.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
PGE,100.0%,,,,,25,post-RTOE exact,Single entity across all 25 segments.
NWMT,100.0%,,,,,2,post-RTOE exact,Only 2 segments observed - weak evidence.
NWMT,100.0%,,,,,117,post-RTOE exact,Single entity across all 117 segments.
NWMT,100.0%,,,,,16,post-RTOE exact,Single entity across all 16 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
NWMT,100.0%,,,,,207,post-RTOE exact,Single entity across all 207 segments.
SWPW,97.2%,SWPP,2.8%,,,213,post-RTOE exact,Predominantly SWPW; other entities appear on different lines at this node.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
WACM,50.0%,PACE,50.0%,,,16,pre-RTOE exact (fallback),No post-RTOE tags; pre-RTOE evidence only - RTOE may have reassigned this. Seam node: no single dominant entity (2 seen) - which applies depends on the line (POR-POD leg) being scheduled; all are valid.
SWPW,50.0%,PACE,50.0%,,,20,post-RTOE exact,Seam node: no single dominant entity (2 seen) - which applies depends on the line (POR-POD leg) being scheduled; all are valid.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
SWPW,100.0%,,,,,8,post-RTOE exact,Single entity across all 8 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
NWMT,100.0%,,,,,8,post-RTOE exact,Single entity across all 8 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
NWMT,100.0%,,,,,28,post-RTOE exact,Single entity across all 28 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
PACE,100.0%,,,,,8,pre-RTOE exact (fallback),No post-RTOE tags; pre-RTOE evidence only - RTOE may have reassigned this. Single entity across all 8 segments.
NWMT,100.0%,,,,,55,post-RTOE exact,Single entity across all 55 segments.
PACE,100.0%,,,,,49,post-RTOE exact,Single entity across all 49 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
PACE,100.0%,,,,,10,post-RTOE exact,Single entity across all 10 segments.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,No post- or pre-RTOE Guzman tag segments found for this point with this provider.
,,,,,,,,
